Name,Album Artist,Spotify URI
pick up the phone,Travis Scott,spotify:track:4GXl8l1MfZPf2GvpyRPJBf
Ghost Town,Kanye West,spotify:track:7vgTNTaEz3CsBZ1N4YQalM
BBO,Migos,spotify:track:4BHzHISX21PYwGXiBEUQ70
Jerusalema,Master KG,spotify:track:2MlOUXmcofMackX3bxfSwi
Time Today,Moneybagg Yo,spotify:track:0YrKSfpvflYnLSBd4Jtu6J
U Played,Moneybagg Yo,spotify:track:7qeWNGBqqagdwf4KnjRzGZ
Wockesha,Moneybagg Yo,spotify:track:0nqhKXDjsyBMvbeWmgijD0
Said Sum,Moneybagg Yo,spotify:track:3sKz6Sd72K0ofPWcJPPk6H
Wat U On,Moneybagg Yo,spotify:track:6eHksHmETBULwFo0N3k562
'97 Hov,Benny the Butcher,spotify:track:1qzlwbV6SwHYOR3mhu6ZEd
Pana,Tekno,spotify:track:3ddd0nUY2jZtPYzg0r0wTb
Make a Hit,Kodak Black,spotify:track:6EjbqmKlrYawjNB9BTccbh
Cognitive,Kodak Black,spotify:track:6GwI7uFmTvUW7TwryZ0oQk
Back That Azz Up,Juvenile,spotify:track:525yPO8r5J6kLostDxm3XK
Bad Bad,YoungBoy Never Broke Again,spotify:track:2OUY5NdALupSoIQN9ZBH1a
Big Truck,YoungBoy Never Broke Again,spotify:track:5dT8SEE6yaZMGn16u6FI9R
Death Enclaimed,YoungBoy Never Broke Again,spotify:track:64EIMveqmS5vaCPuI31rFA
Revolution,Diplo,spotify:track:0QXSvAR0qWcbqWPe2KFamv
Beats Knockin,"Jack Ü, Skrillex & Diplo",spotify:track:4gwF1NiLbZl2uKJDS3AX9O
To Ü,"Jack Ü, Skrillex & Diplo",spotify:track:3UgSQu6WwrXfKKDq019IHE
Jungle Bae,"Jack Ü, Skrillex & Diplo",spotify:track:7yJzk64ul9PFgVFUYbEzZL
Holla Out,"Jack Ü, Skrillex & Diplo",spotify:track:3LDKrOek8eqZA52IeauhrW
Take Ü There,"Jack Ü, Skrillex & Diplo",spotify:track:2RpKh7kXSdO8NLrW9VQ46p
Waratte-Ikiru,EASTA & NAOtheLAIZA,
7 Days A Week,Doe Boy & Southside,spotify:track:78iJxdMLJDkP62YqLiqQw3
If You Ask Me,Doe Boy & Southside,spotify:track:1ovqn1kHpblrVQTqIhIYw7
Tweakin,Doe Boy & Southside,spotify:track:0dscN8hTc71Eg6i7rM0v2c
Yessirski,Doe Boy & Southside,spotify:track:1c3Zkz6wzRAakKaYY6F3iw
Yesterday,Doe Boy & Southside,spotify:track:0qQZ4lxmzitLd6w5WQXrKE
Sorry Bout That,Yeat,spotify:track:5G9CRx8UPvVfZe1L8gXKT0
Parlay,Cash Cobain,spotify:track:4cfvWvZEyyKL1AqBVt1znF
Poppin,Yeat,spotify:track:3wn8nOygkHLUQ9dlXM1rKW
I Don’t Text Back,YoungBoy Never Broke Again,spotify:track:6Gh8SC2X9tC1EmgJK6tin0
Monëy so big,Yeat,spotify:track:4Se3fXoHJkcraQzJXo2IYn
On ne dit jamais assez aux gens qu'on aime qu'on les aime,Louis Chedid,spotify:track:0FnzcfQPCSeWF6o1KCkey2
Never Catch Me,Flying Lotus,spotify:track:1KOqY0QTSadQFRgbNw1sLh
Time: The Donut of the Heart,J Dilla,spotify:track:6ywnTBL62OTd8HUaztJizb
At Your Best,Aaliyah,spotify:track:4lRrk574qIHpoEEKC1zuam
Under the Influence,Chris Brown,spotify:track:5IgjP7X4th6nMNDh4akUHb
Go Crazy,Chris Brown & Young Thug,spotify:track:1IIKrJVP1C9N7iPtG6eOsK
New Flame,Chris Brown,spotify:track:3fBbfrWZUuWWrMQXFISr7N
Autumn Leaves,Chris Brown,spotify:track:7EJ1CjaeHobTNQCJOrFmpZ
Don't Think They Know,Chris Brown,spotify:track:3uVCPFmavlWGQUqeYh8HhR
Fine China,Chris Brown,spotify:track:0yz2J4wsXFCjMjpJ6A74yV
